Security Name,Cusip,Ticker,Bet Size Ind,Active Bet In/Out Indicator,Total Relative Contribution - Actual,Actual Relative Average Weight,MSCI/S&P Sector
PINTEREST INC 8% PC E P/P,62S99A232,PNT+E.PP,OVWT0.0TO0.5,OUTBM,0.56032463,0.4317688,INFORMATION TECHNOLOGY
MARUTI SUZUKI INDIA LTD (LOC),12199R221,*MARUTI,OVWT0.0TO0.5,OUTBM,0.55379036,0.1288939,CONSUMER DISCRETIONARY
DISCOVER FIN SVCS,254709108,DFS,UNWT-0.5TO0.0,NEGBET,0.54908819,-0.13420983,FINANCIALS
KEYCORP,493267108,KEY,UNWT-0.5TO0.0,NEGBET,0.54205738,-0.09644748,FINANCIALS
ARCONIC INC,BAJ628000,ARNC,UNWT-0.5TO0.0,NEGBET,0.54100828,-0.05878887,INDUSTRIALS
LINCOLN NATIONAL CORP,534187109,LNC,UNWT-0.5TO0.0,NEGBET,0.54059582,-0.07539878,FINANCIALS
RYANAIR HOLDINGS PLC SPON ADR,783513203,RYAAY,OVWT0.0TO0.5,OUTBM,0.53363716,0.40551709,INDUSTRIALS
SOUTHERN CO,842587107,SO,UNWT-0.5TO0.0,NEGBET,0.53483973,-0.24314874,UTILITIES
NIELSEN HOLDINGS PLC,77Z990226,NLSN,UNWT-0.5TO0.0,NEGBET,0.51685101,-0.07116713,INDUSTRIALS
ENVISION HEALTHCARE CORP,BCB343000,EVHC,UNWT-0.5TO0.0,NEGBET,0.50947736,-0.03742039,HEALTH CARE
UNITED CONTINENTAL HLDGS INC,910047109,UAL,UNWT-0.5TO0.0,NEGBET,0.50930313,-0.09936778,INDUSTRIALS
CARMAX INC,143130102,KMX,UNWT-0.5TO0.0,NEGBET,0.50618156,-0.057911,CONSUMER DISCRETIONARY
PUBLIC STORAGE,74460D109,PSA,UNWT-0.5TO0.0,NEGBET,0.50316512,-0.16394757,REAL ESTATE
NASPERS LTD N SHS,63199Q226,*NPNA,OVWT0.0TO0.5,OUTBM,0.49982144,0.067695,CONSUMER DISCRETIONARY
GGP INC,370023103,GGP,UNWT-0.5TO0.0,NEGBET,0.49340049,-0.06733778,REAL ESTATE
CSX CORP,126408103,CSX,UNWT-0.5TO0.0,INBM-,0.49431447,-0.13107128,INDUSTRIALS
PAYCOM SOFTWARE INC,70432V102,PAYC,OVWT0.0TO0.5,OUTBM,0.48901827,0.07425195,INFORMATION TECHNOLOGY
MACYS INC,55616P104,M,UNWT-0.5TO0.0,NEGBET,0.49086005,-0.04553043,CONSUMER DISCRETIONARY
NITORI HOLDINGS CO LTD,685997934,*NITO,OVWT0.0TO0.5,OUTBM,0.4855039,0.05735461,CONSUMER DISCRETIONARY
ACACIA COMMUNICATIONS INC,AEJ845000,ACIA,OVWT0.0TO0.5,OUTBM,0.48150193,0.03887771,INFORMATION TECHNOLOGY
OLLIES BARGAIN OUTLET HOLDINGS,681116109,OLLI,OVWT0.0TO0.5,OUTBM,0.4799728,0.07234847,CONSUMER DISCRETIONARY
INTUITIVE SURGICAL INC,46120E602,ISRG,OVWT0.0TO0.5,INBM+,0.47528234,0.12051939,HEALTH CARE
KIMCO REALTY CORPORATION,49446R109,KIM,UNWT-0.5TO0.0,NEGBET,0.46021691,-0.04717465,REAL ESTATE
NEWELL BRANDS INC,651229106,NWL,UNWT-0.5TO0.0,NEGBET,0.45853102,-0.1148653,CONSUMER DISCRETIONARY
BOSTON PROPERTIES INC,101121101,BXP,UNWT-0.5TO0.0,NEGBET,0.45804097,-0.10071648,REAL ESTATE
SYMANTEC CORP,871503108,SYMC,OVWT0.0TO0.5,INBM+,0.45095901,0.07324716,INFORMATION TECHNOLOGY
NOBLE ENERGY INC,655044105,NBL,UNWT-0.5TO0.0,NEGBET,0.44508926,-0.07333743,ENERGY
MOLSON COORS BREWING CO B,60871R209,TAP,UNWT-0.5TO0.0,NEGBET,0.43831436,-0.08851326,ONSUMER STAPLES
DOLLAR GENERAL CORP,256677105,DG,UNWT-0.5TO0.0,NEGBET,0.42623876,-0.089613,CONSUMER DISCRETIONARY
DEVON ENERGY CORP,25179M103,DVN,UNWT-0.5TO0.0,NEGBET,0.42019713,-0.10594661,ENERGY
VAIL RESORTS INC,91879Q109,MTN,OVWT0.0TO0.5,OUTBM,0.41750161,0.0665227,CONSUMER DISCRETIONARY
REGIONS FINANCIAL CORP,7591EP100,RF,UNWT-0.5TO0.0,NEGBET,0.4190929,-0.0892363,FINANCIALS
WW GRAINGER INC,384802104,GWW,UNWT-0.5TO0.0,NEGBET,0.41822503,-0.06545322,INDUSTRIALS
BRISTOL-MYERS SQUIBB CO,110122108,BMY,UNWT-0.5TO0.0,INBM-,0.42994093,-0.07649993,HEALTH CARE
MALLINCKRODT PLC,61T99H220,MNK,UNWT-0.5TO0.0,NEGBET,0.41413241,-0.0247173,HEALTH CARE
GENERAL MILLS INC,370334104,GIS,UNWT-0.5TO0.0,NEGBET,0.41239623,-0.17324204,ONSUMER STAPLES
PAYCHEX INC,704326107,PAYX,UNWT-0.5TO0.0,NEGBET,0.41094805,-0.09752096,INFORMATION TECHNOLOGY
INTERNATIONAL PAPER CO,460146103,IP,UNWT-0.5TO0.0,NEGBET,0.40352463,-0.10422535,MATERIALS
FIDELITY NATL INFORM SVCS INC,31620M106,FIS,UNWT-0.5TO0.0,NEGBET,0.40139131,-0.13165183,INFORMATION TECHNOLOGY
HESS CORP,42809H107,HES,UNWT-0.5TO0.0,NEGBET,0.40033872,-0.06397874,ENERGY
AMERICAN EXPRESS CO,025816109,AXP,UNWT-0.5TO0.0,NEGBET,0.39969571,-0.29700983,FINANCIALS
INTEL CORP,458140100,INTC,UNWT-1.0TO-0.5,NEGBET,0.39801325,-0.82674809,INFORMATION TECHNOLOGY
MONDELEZ INTERNATIONAL INC,609207105,MDLZ,UNWT-0.5TO0.0,INBM-,0.39940874,-0.24686752,ONSUMER STAPLES
JPMORGAN CHASE & CO,46625H100,JPM,UNWT-0.5TO0.0,INBM-,0.42479461,-0.17043889,FINANCIALS
TRANSUNION,89400J107,TRU,OVWT0.0TO0.5,OUTBM,0.39093394,0.12021507,INDUSTRIALS
VALERO ENERGY CORP,91913Y100,VLO,UNWT-0.5TO0.0,NEGBET,0.39052572,-0.14916417,ENERGY
COHERENT INC,192479103,COHR,OVWT0.0TO0.5,OUTBM,0.38538537,0.02872261,INFORMATION TECHNOLOGY
VEEVA SYS INC CL A,922475108,VEEV,OVWT0.0TO0.5,OUTBM,0.37861778,0.02131095,HEALTH CARE
MSCI INC,55354G100,MSCI,OVWT0.0TO0.5,OUTBM,0.37809421,0.14317772,FINANCIALS
CHARTER COMMUNICATIONS INC A,AFE394000,CHTR,OVWT0.0TO0.5,INBM+,0.36760408,0.30019868,CONSUMER DISCRETIONARY
ENCANA CORP,292505104,ECA.TO,OVWT0.0TO0.5,OUTBM,0.36720258,0.06317152,ENERGY
HUNTINGTON BANCSHARES INC,446150104,HBAN,UNWT-0.5TO0.0,NEGBET,0.37095318,-0.07343252,FINANCIALS
FRANCO-NEVADA CORP (CANA),351858105,FNV.TO,OVWT0.0TO0.5,OUTBM,0.36268137,0.24768504,MATERIALS
LKQ CORP,501889208,LKQ,UNWT-0.5TO0.0,NEGBET,0.358239,-0.0459153,CONSUMER DISCRETIONARY
HCP INC REIT,40414L109,HCP,UNWT-0.5TO0.0,NEGBET,0.3560797,-0.07070383,REAL ESTATE
NINTENDO CO LTD,654439991,*NINT,OVWT0.0TO0.5,OUTBM,0.35469664,0.03057288,INFORMATION TECHNOLOGY
MOSAIC CO NEW,61945C103,MOS,UNWT-0.5TO0.0,NEGBET,0.35449597,-0.0504907,MATERIALS
EXELON CORP,30161N101,EXC,UNWT-0.5TO0.0,NEGBET,0.35088162,-0.16365622,UTILITIES
ALASKA AIR GROUP INC,011659109,ALK,UNWT-0.5TO0.0,NEGBET,0.34958403,-0.05782704,INDUSTRIALS
METTLER-TOLEDO INTL INC,592688105,MTD,OVWT0.5TO1.0,INBM+,0.34431066,0.75243149,HEALTH CARE
INTUIT INC,461202103,INTU,UNWT-0.5TO0.0,INBM-,0.33870768,-0.04413677,INFORMATION TECHNOLOGY
NEWMONT MINING CORP,651639106,NEM,UNWT-0.5TO0.0,NEGBET,0.33258991,-0.08711304,MATERIALS
CIGNA CORP,125509109,CI,UNWT-0.5TO0.0,NEGBET,0.32652485,-0.19025926,HEALTH CARE
TRANSDIGM GROUP INC,893641100,TDG,UNWT-0.5TO0.0,INBM-,0.32547146,-0.03073507,INDUSTRIALS
INVESCO LTD,17P997228,IVZ,UNWT-0.5TO0.0,NEGBET,0.32237994,-0.06281696,FINANCIALS
PUBLIC SVC ENTERPRISE GRP INC,744573106,PEG,UNWT-0.5TO0.0,NEGBET,0.31259768,-0.11136026,UTILITIES
PENUMBRA INC,70975L107,PEN,OVWT0.0TO0.5,OUTBM,0.30901547,0.03253201,HEALTH CARE
PRICE (T ROWE)GROUP INC,74144T108,TROW,UNWT-0.5TO0.0,NEGBET,0.31080033,-0.0839117,FINANCIALS
ADVANCE AUTO PARTS INC,00751Y106,AAP,UNWT-0.5TO0.0,NEGBET,0.30966097,-0.05533483,CONSUMER DISCRETIONARY
CORNING INC,219350105,GLW,UNWT-0.5TO0.0,NEGBET,0.30252839,-0.12719278,INFORMATION TECHNOLOGY
IHS MARKIT LTD,68G993220,INFO,OVWT0.0TO0.5,OUTBM,0.29865632,0.05713958,INDUSTRIALS
ZIONS BANCORP,989701107,ZION,UNWT-0.5TO0.0,NEGBET,0.2982081,-0.04349396,FINANCIALS
SNAP INC SER F PC PP,74R99U234,SNAP+FPP,OVWT0.0TO0.5,OUTBM,0.29517678,0.00216749,INFORMATION TECHNOLOGY
SHOPIFY INC CL A,82509L107,SHOP.TO,OVWT0.0TO0.5,OUTBM,0.29225506,0.02136009,INFORMATION TECHNOLOGY
ULTIMATE SOFTWARE GROUP INC,90385D107,ULTI,OVWT0.0TO0.5,OUTBM,0.28227288,0.3408998,INFORMATION TECHNOLOGY
LAUREATE EDUCATION INC CL A,BDE815000,LAUR,OVWT0.0TO0.5,OUTBM,0.28241332,0.03009793,CONSUMER DISCRETIONARY
ARCHER DANIELS MIDLAND CO,039483102,ADM,UNWT-0.5TO0.0,NEGBET,0.28141766,-0.12757722,ONSUMER STAPLES
SL GREEN REALTY CORP REIT,78440X101,SLG,UNWT-0.5TO0.0,NEGBET,0.27117487,-0.053886,REAL ESTATE
SEALED AIR CORP,81211K100,SEE,UNWT-0.5TO0.0,NEGBET,0.26837961,-0.04298487,MATERIALS
TRANSOCEAN LTD (USA),66599T229,RIG,UNWT-0.5TO0.0,NEGBET,0.26681873,-0.02421083,ENERGY
YUM BRANDS INC,988498101,YUM,UNWT-0.5TO0.0,NEGBET,0.26054256,-0.10824752,CONSUMER DISCRETIONARY
AMERISOURCEBERGEN CORP,03073E105,ABC,UNWT-0.5TO0.0,NEGBET,0.25945822,-0.07253143,HEALTH CARE
AKAMAI TECHNOLOGIES INC,00971T101,AKAM,UNWT-0.5TO0.0,NEGBET,0.25688291,-0.0541647,INFORMATION TECHNOLOGY
EXTRA SPACE STORAGE INC,30225T102,EXR,UNWT-0.5TO0.0,NEGBET,0.25612284,-0.04713422,REAL ESTATE
HUMANA INC,444859102,HUM,UNWT-0.5TO0.0,INBM-,0.25483318,-0.10414647,HEALTH CARE
SEAGATE TECHNOLOGY,33199G221,STX,UNWT-0.5TO0.0,NEGBET,0.24682392,-0.06795939,INFORMATION TECHNOLOGY
TESORO CORP,881609101,TSO,UNWT-0.5TO0.0,NEGBET,0.24600762,-0.047792,ENERGY
SCANA CORP,80589M102,SCG,UNWT-0.5TO0.0,NEGBET,0.24539692,-0.0477027,UTILITIES
CF INDUSTRIES HOLDINGS INC,125269100,CF,UNWT-0.5TO0.0,NEGBET,0.24321224,-0.03428461,MATERIALS
WHIRLPOOL CORP,963320106,WHR,UNWT-0.5TO0.0,NEGBET,0.24099413,-0.06413509,CONSUMER DISCRETIONARY
AETNA INC,00817Y108,AET,UNWT-0.5TO0.0,NEGBET,0.23955315,-0.22444735,HEALTH CARE
KWEICHOW MOUTAI CO LTD A,00T993237,*KWMCLA,OVWT0.0TO0.5,OUTBM,0.23805638,0.02910486,ONSUMER STAPLES
APACHE CORP,037411105,APA,UNWT-0.5TO0.0,NEGBET,0.23610506,-0.0953463,ENERGY
TIME WARNER INC,887317303,TWX,UNWT-0.5TO0.0,NEGBET,0.23509572,-0.37262652,CONSUMER DISCRETIONARY
WEIGHT WATCHERS INTL INC,948626106,WTW,OVWT0.0TO0.5,OUTBM,0.22967399,0.03578825,CONSUMER DISCRETIONARY
UNUM GROUP,91529Y106,UNM,UNWT-0.5TO0.0,NEGBET,0.22939761,-0.05414574,FINANCIALS
FEDERAL REALTY INVESTMENT TR,313747206,FRT,UNWT-0.5TO0.0,NEGBET,0.2274566,-0.04714917,REAL ESTATE
COMERICA INC,200340107,CMA,UNWT-0.5TO0.0,NEGBET,0.22386113,-0.0602557,FINANCIALS
BROWN FORMAN CORP NON VTG CL B,115637209,BF.B,UNWT-0.5TO0.0,NEGBET,0.22058542,-0.0417513,ONSUMER STAPLES
FRONTIER COMMUNICATIONS CORP,35906A108,FTR,UNWT-0.5TO0.0,NEGBET,0.21716747,-0.00861539,TELECOMMUNICATION SERVICES
MCKESSON CORP,58155Q103,MCK,UNWT-0.5TO0.0,NEGBET,0.21415587,-0.15474891,HEALTH CARE
CAMPBELL SOUP CO,134429109,CPB,UNWT-0.5TO0.0,NEGBET,0.20941644,-0.05573004,ONSUMER STAPLES
DUKE ENERGY CORP,26441C204,DUK,UNWT-0.5TO0.0,NEGBET,0.20917455,-0.27916687,UTILITIES
AUTOZONE INC,053332102,AZO,UNWT-0.5TO0.0,NEGBET,0.20490282,-0.10208852,CONSUMER DISCRETIONARY
REALTY INCOME CORP REIT,756109104,O,UNWT-0.5TO0.0,NEGBET,0.20333659,-0.07691957,REAL ESTATE
KOHLS CORP,500255104,KSS,UNWT-0.5TO0.0,NEGBET,0.20225091,-0.03445039,CONSUMER DISCRETIONARY
MOHAWK INDUSTRIES INC,608190104,MHK,OVWT0.0TO0.5,INBM+,0.20064931,0.15873408,CONSUMER DISCRETIONARY
GENUINE PARTS CO,372460105,GPC,UNWT-0.5TO0.0,NEGBET,0.20172699,-0.06857252,CONSUMER DISCRETIONARY
GENERAL ELECTRIC CO,369604103,GE,UNWT-1.5TO-1.0,NEGBET,0.19898679,-1.2879738,INDUSTRIALS
FLUOR CORP,343412102,FLR,UNWT-0.5TO0.0,NEGBET,0.19571617,-0.03685452,INDUSTRIALS
KELLOGG CO,487836108,K,UNWT-0.5TO0.0,NEGBET,0.19451855,-0.09183517,ONSUMER STAPLES
